gene,CellType,pair,avg_log2FC,p_val_adj
Ac3,Ach_1,simsec,-0.604494494865678,4.05586570832612e-114
Ac3,DOP/SER,simsec,-0.652901329377732,1.62495747983204e-09
Ac3,sNPF,simsec,-0.631648925660884,1.96869762879924e-13
Ac3,GABA_2,simsec,-0.67704125085783,4.39390409550264e-14
Ac3,CCHa2,simsec,-0.663900651547529,9.08128829467739e-17
Ac3,fru_2,simsec,-0.70832756016079,1.50555484679577e-25
Ac3,Glu_1,simsec,-0.648875717476721,1.48662657945402e-99
Ac3,DOP_2,simsec,-0.98083973398713,1.15769271244093e-07
Ac3,Glu_3,simsec,-0.639437350560487,6.71791437821849e-50
Ac3,Dh31,simsec,-0.71914566617948,9.04622065415321e-05
Ac3,GABA_1,simsec,-0.691077477735438,6.83415606506727e-30
Ac3,Poxn_2,simsec,-0.901163984581561,2.21726282643144e-11
Ac3,Glu_11,simsec,-0.917537839808027,1.97977709858594e-09
Ac3,Glu_8,simsec,-0.627467229235692,0.0300203943821337
Ac3,Poxn_1,simsec,-0.797778662474522,1.80251519637933e-08
Ac3,fru_5,simsec,-0.964666926887719,1.08211216957951e-12
Ac3,Clock_2,simsec,-0.909241533743967,2.01477366750404e-05
Ac3,α'β'-KC,simsec,-0.594510962872319,6.29589575825635e-29
Ac3,fru_3,simsec,-0.743601224394857,8.37853199027066e-21
Ac3,fru_7,simsec,-0.712356126822205,0.00325869051092393
Ac3,GABA_6,simsec,-0.732849485693974,0.00142609780555519
Ac3,GABA_3,simsec,-0.709884907451883,4.22767841210779e-05
Ac3,Poxn_3,simsec,-0.964024876049103,1.12138336098135e-12
Ac3,Glu_4,simsec,-0.662016876183283,4.45354196933763e-11
Ac3,Ach_7,simsec,-0.623813058142127,0.0229697557399444
Ac3,Clock_3,simsec,-0.658324459983669,0.0136658860580574
Ac3,Glu_10,simsec,-0.952998257059925,1.57043463594499e-10
Ac3,GABA_11,simsec,-0.834298679440606,0.00381161403988579
Ac3,Ach_11,simsec,-0.653013207512215,0.00717539939394906
Ac3,Glu_12,simsec,-0.731319031025064,0.0158429750269161
Ac3,GABA_10,simsec,-0.906002509990516,1.35540251453752e-05
Ac3,OPN,simsec,-1.0336920800758,9.05689099939921e-27
Ac3,GABA_5,simsec,-0.923782213027291,7.99565579140681e-05
Ac3,Poxn_4,simsec,-1.09112516970344,4.26472631882444e-07
Ac76E,Poxn_3,melsec,-0.629786614539338,0.00059773094620998
Ac78C,PRN,melsec,0.778036123161249,4.74141386756671e-13
Ac78C,CTX,melsec,0.676778588091117,1.76259673937974e-21
Ac78C,Ach_12,melsec,0.971587951789765,7.5583721449877e-13
Ac78C,CTX,melsim,0.628347589531637,1.13587854394042e-12
Ac78C,PRN,melsim,0.727410050091281,1.83281947670059e-12
Ac78C,Ach_12,melsim,1.08889479674347,7.06793525169147e-14
Ace,Ach_15,simsec,0.781816245922164,0.0060307557778794
Acn,TY_2,melsim,-0.893360282544042,0.000125928643204391
AdamTS-B,PRN,melsec,1.02560143859275,1.90697149327352e-17
AdamTS-B,PRN,melsim,1.04613639444402,1.02815353312444e-29
Adar,Poxn_5,melsec,-1.60145062350973,0.000903245715136599
Adar,GABA_9,melsec,-0.80622825660332,3.31266375889338e-06
Adh,PRN,melsec,-0.62541686117039,4.9707758861884e-20
Ald1,AST,melsec,0.622573943158802,3.42895787569592e-22
Ald1,Clock_2,melsec,0.635427567704144,0.00587834475525917
Ald1,Glu_10,melsec,0.604588202533011,0.00124716490552441
Amph,AST,melsec,0.879747614270168,9.13537427430993e-62
Amph,AST,simsec,0.857135534205794,2.1472046929799e-49
Ank2,γ-KC,melsec,-0.627978254071365,3.17092377434861e-101
Ank2,Clock_1,melsec,-0.641106436798111,1.59532968244467e-05
Apoltp,γ-KC,melsim,-0.598163635375019,2.06864430581172e-148
Appl,fru_9,melsim,0.669646163932064,0.0386387762342555
Appl,NPF_AstA,melsim,0.709449284338167,3.77412295865548e-06
Arl4,DOP/SER,melsim,-0.635138109107302,6.18008753318335e-12
Arl4,AstC_FMRFa,melsim,-0.680540160703387,0.00666790286521662
Arms,ENS,melsec,-0.689040360485992,3.05749042365343e-46
Arms,ENS,simsec,-0.780377101871953,4.59163935121932e-56
AstA,NPF_AstA,melsec,-0.852621645720173,1.08649196171772e-05
AstA,NPF_AstA,melsim,-0.761685637254766,0.000166935073582601
AstA-R1,fru_9,melsec,0.745871147388098,0.0180327553903198
AstA-R1,NPF_AstA,melsec,0.830459460929287,1.11148344194963e-05
AstA-R1,Tk_Mip_RYa,melsec,0.952333566369686,0.00246874525381021
AstC,sNPF_CCHa2_AstC,melsim,-0.595694156656237,9.15879297309776e-06
AstC,Poxn_3,simsec,-1.03405890408871,1.1351079283788e-08
AstC-R2,sNPF_CCHa2_AstC,melsec,0.626265886867508,0.00613913017823053
AstC-R2,Tk_2,melsim,1.80308114027284,1.0291181581569e-09
Atet,Clock_2,melsec,0.63085483791432,0.000367297782905972
Atet,Poxn_3,melsim,0.880474217179121,3.92967505789527e-12
Atg17,Glu_9,melsec,-0.797698996603021,4.40462161741107e-05
Atg17,Ach_3,melsec,-0.636790721071737,7.62254676974744e-83
Atg17,Ach_2,melsec,-0.72551580082375,1.97906060010574e-230
Atg17,Glu_6,melsec,-0.730497700256109,1.25820495121807e-18
Atg17,Ach_1,melsec,-0.621374402657797,3.20989077556705e-135
Atg17,DOP/SER,melsec,-0.759420444993902,5.57933773783345e-14
Atg17,fru_1,melsec,-0.702019298413846,1.96891239699004e-29
Atg17,sNPF,melsec,-0.64226182917211,1.81431234011696e-15
Atg17,CCHa2,melsec,-0.619828007083329,1.2673494446414e-16
Atg17,Mip,melsec,-0.615195198583455,6.1824530247417e-05
Atg17,fru_2,melsec,-0.766833371975792,2.67820185197842e-34
Atg17,Glu_1,melsec,-0.717841546862754,4.75539625882895e-127
Atg17,DOP_2,melsec,-0.719075435270317,0.00494308063298575
Atg17,Glu_2,melsec,-0.660949647628982,3.47587464271454e-71
Atg17,Glu_3,melsec,-0.705732654563931,1.41151870286177e-65
Atg17,Dh31,melsec,-0.663884670268542,0.00022097126509941
Atg17,Poxn_2,melsec,-0.732620123890242,2.31353601299639e-11
Atg17,fru_9,melsec,-0.868434131022409,0.0019348773644174
Atg17,Glu_8,melsec,-0.756957069353672,3.40494583097191e-07
Atg17,fru_4,melsec,-0.5882377177281,4.46252186945879e-07
Atg17,Tk_1,melsec,-0.596342056011919,1.92776621679299e-09
Atg17,PRN,melsec,-0.643980723193702,1.59779973467959e-07
Atg17,Tk_3,melsec,-0.797301257393681,0.00653295467848865
Atg17,sNPF_CCHa2_AstC,melsec,-0.67569227689673,0.000912760569365322
Atg17,Glu_13,melsec,-0.657438791234419,3.25283601280898e-05
Atg17,Clock_2,melsec,-0.591982928398929,0.00154912281231465
Atg17,fru_3,melsec,-0.652913661762995,4.66568588796259e-16
Atg17,fru_7,melsec,-0.625231840236219,0.000339329584015335
Atg17,Glu_7,melsec,-0.637882814996939,0.00123380329386532
Atg17,NPF_Dh31,melsec,-0.753031406525842,0.000431059292140425
Atg17,Ach_9,melsec,-0.748102762523933,2.21080381463463e-05
Atg17,GABA_3,melsec,-0.719823924669735,7.32085469175398e-05
Atg17,NPF_AstA,melsec,-1.21259485182735,8.18119980407983e-08
Atg17,Glu_4,melsec,-0.60030491044036,7.02079998967951e-13
Atg17,Clock_3,melsec,-0.793549122532573,0.0231535923682631
Atg17,fru_11,melsec,-0.869187894368289,0.00237598380385812
Atg17,Clock_1,melsec,-0.74758977719929,4.08398972025327e-05
Atg17,Ach_6,melsec,-0.621427414253388,0.00110610015126587
Atg17,Glu_10,melsec,-0.746324629149925,0.000276853918498973
Atg17,fru_8,melsec,-0.835199715040696,0.000729347379353004
Atg17,Tk_2,melsec,-0.602998089443515,0.00109636026490878
Atg17,Ach_13,melsec,-0.644512249697358,0.00770114765780839
Atg17,Ach_12,melsec,-0.675211066992742,3.51883320537922e-06
Atg17,fru_10,melsec,-0.712238508263829,0.0309009463096908
Atg17,GABA_11,melsec,-0.779395288557447,0.000298661951040715
Atg17,Ach_10,melsec,-0.647977018216801,0.0229484207807806
Atg17,GABA_10,melsec,-0.809692111906891,2.30353748086798e-05
Atg17,OPN,melsec,-0.729808019976321,3.33347373382466e-23
Atg17,fru_12,melsec,-0.97784685776145,0.0063425518590607
Atg17,NPF_AstA,simsec,-1.1219833422355,9.35441925366476e-06
Atpalpha,Poxn_1,melsec,-0.604805668741789,7.85015330302295e-11
Atpalpha,fru_14,melsec,-1.10727132233052,0.000481865453872191
B52,GABA_5,melsec,-0.71600178900647,0.00150720031125697
B52,Ach_1,melsec,-0.61788320343144,3.21544211300058e-125
B52,GABA_2,melsec,-0.593939396137867,2.00597015068941e-13
B52,CCHa2,melsec,-0.648946372253017,2.3689485656435e-14
B52,GABA_4,melsec,-0.829529112744865,3.11708253363395e-21
B52,Glu_11,melsec,-0.704408620344038,4.37171896245648e-05
B52,Glu_8,melsec,-0.607813630047863,0.0261337063200552
B52,Poxn_1,melsec,-0.623022051713017,6.79389185616835e-06
B52,fru_5,melsec,-1.07871197601404,1.36027848936418e-16
B52,Clock_2,melsec,-0.78084353151381,1.44852006603256e-05
B52,Glu_7,melsec,-0.63432499558375,0.0300196319404748
B52,Glu_15,melsec,-1.04856296543822,0.00578858478436955
B52,GABA_6,melsec,-0.681522504798462,3.58094031792936e-05
B52,NPF_Dh31,melsec,-0.928390294018782,2.64818367787099e-07
B52,Poxn_3,melsec,-0.750955068763221,2.38441146506829e-07
B52,Ach_16,melsec,-0.710713456795357,0.0447340292604714
B52,Ach_12,melsec,-0.704276484847474,9.67933592971013e-05
B52,OPN,melsec,-0.773504060796274,2.054319262346e-30
B52,Glu_9,simsec,-0.640228553967965,0.0129004121472137
B52,Glu_6,simsec,-0.646579061923917,7.29115593097611e-11
B52,Ach_1,simsec,-0.64167960012233,8.1996420279735e-132
B52,CCHa2,simsec,-0.617874926320011,2.74454489549227e-12
B52,GABA_1,simsec,-0.586150970667069,2.39150222028947e-18
B52,GABA_4,simsec,-0.887610687721664,2.85482073195256e-20
B52,Glu_11,simsec,-0.630916613656617,0.00230110603939103
B52,fru_5,simsec,-1.06600726033631,3.68653122110116e-15
B52,fru_7,simsec,-0.672274060574525,0.00334637480377674
B52,Ach_12,simsec,-0.780868202573054,3.0696702866485e-05
B52,FMRFa_Dh44,simsec,-0.983235117520594,0.0124585349833833
B52,Poxn_1,simsec,-0.655742855865494,3.08312983052514e-08
B52,NPF_Dh31,simsec,-0.784491592953219,0.00698449840372649
B52,Poxn_3,simsec,-0.977861022730751,3.8755490622562e-15
B52,OPN,simsec,-0.736476462091377,1.91069973892094e-23
Blimp-1,AST,melsim,0.590767491046009,6.18858772884613e-16
Btk,CTX,simsec,-0.626510280011493,5.33339399909679e-08
Btk,ENS,simsec,-0.70373812140805,1.19330782999518e-54
Bx,αβ-KC_1,simsec,-0.600384895256394,2.92232123007444e-82
CAH1,ENS,melsec,0.709861612106149,2.38803964837829e-41
CAH1,SUB,melsim,-1.32816004859888,0.0326805955906913
CAH2,PRN,melsec,-0.83233527876971,9.88518998519854e-25
CAH2,PRN,simsec,-0.836047597953315,6.01112756588472e-10
CAH3,PRN,melsec,0.944463800202959,1.34177345589457e-16
CAH3,PRN,simsec,1.19274943578836,1.76568052909022e-19
CAH7,CTX,melsec,1.11512961356299,2.33475579959272e-14
CAH7,CTX,melsim,0.765370656043602,6.84506632691228e-05
CAH7,ENS,melsim,0.774385681921174,2.11903938851294e-23
CAP,Tk_2,melsec,0.732212064195572,0.00789159645176918
CAP,Tk_2,melsim,0.762056575129037,0.000567075035669806
CARPA,GABA_7,melsec,0.747123976869196,0.031214606074342
CARPA,GABA_10,melsec,1.1165184986206,2.54539804778198e-08
CARPA,GABA_10,melsim,1.18142064028014,6.96243014964256e-08
CASK,αβ-KC_1,melsec,-0.60787954641767,2.14129483445713e-70
CASK,GABA_5,melsec,-0.653536488766294,0.00206158421193096
CASK,DOP_2,melsec,-0.66896766471747,0.00587955914660193
CASK,Tk_2,melsec,-0.942957778860796,8.81620548391667e-08
CASK,TY_1,melsec,-1.13543407716122,0.0296842919061352
CASK,RYa,melsim,-0.887551144270599,7.51173278254655e-07
CASK,Tk_2,simsec,-0.613326848283891,0.00899226114177751
CCHa2,sNPF_CCHa2_AstC,melsim,-0.609102140772457,2.87361684149008e-05
CCHa2,fru_1,melsim,-0.93730376323534,5.13126269884194e-05
CG10011,AST,melsec,-0.611629617494413,4.99838260859912e-24
CG10011,AST,melsim,-0.849081919817772,3.16235857296436e-43
CG10077,GABA_2,melsec,-0.590326712810463,1.53949736305508e-10
CG10077,Glu_11,melsec,-0.994679073448799,2.88832314808032e-09
CG10077,fru_5,melsec,-0.65222339392497,1.11594784538211e-09
CG10077,Clock_2,melsec,-0.712322871607213,0.0120852957440325
CG10077,Poxn_3,melsec,-0.688978485044812,6.7529235866409e-07
CG10077,Ach_13,melsec,-0.670716884033673,0.000306541758992376
CG10077,Ach_12,melsec,-0.705520934299858,2.21469426878152e-09
CG10077,NPF_AstA,melsim,-0.613554244844905,0.000950650318045551
CG10077,Ach_13,simsec,-0.691601109027072,9.17729525810907e-05
CG10433,CTX,melsec,1.38126005089726,6.2249706893116e-32
CG10433,ENS,melsec,0.799122554663531,1.24605819984282e-76
CG10433,AST,melsec,0.793561114950485,1.3950962677718e-48
CG10433,PRN,melsec,0.970219686371338,2.59387898655514e-23
CG10433,CTX,melsim,0.912708951202729,3.75884678848911e-15
CG10433,PRN,simsec,0.680951536888825,3.38831295148376e-07
CG10508,CTX,melsec,0.677178527659658,2.42750192148827e-17
CG10508,ENS,melsec,0.689786820415182,5.09893140044151e-99
CG10508,AST,melsec,0.696605371933285,7.44768285516704e-55
CG10508,CTX,melsim,0.682256505524023,1.77552975146293e-17
CG10508,PRN,melsim,0.585975865265085,6.2683570031437e-13
CG10508,ENS,melsim,0.707323018536505,5.46487223786721e-99
CG10508,AST,melsim,0.721392241072485,6.61650196615844e-66
CG10710,Glu_9,melsim,-1.00659490966471,4.67930794759164e-13
CG10710,fru_1,melsim,-0.64531173501274,1.98418993195083e-59
CG10710,sNPF,melsim,-0.689703051230177,2.79128541253666e-33
CG10710,fru_2,melsim,-0.593944828123965,1.68372764248279e-41
CG10710,Glu_1,melsim,-0.627132237771579,5.37606172047212e-219
CG10710,Glu_2,melsim,-0.667347340381569,1.99376847666846e-148
CG10710,Dh31,melsim,-0.829966618957976,1.31021310865679e-11
CG10710,fru_9,melsim,-0.662965012722429,1.52358434511074e-06
CG10710,sNPF_CCHa2_AstC,melsim,-0.878984599038634,1.53616011809304e-13
CG10710,Poxn_1,melsim,-0.772566308137666,7.40308997731819e-20
CG10710,Glu_13,melsim,-0.896377368925843,1.58389768246857e-16
CG10710,Glu_7,melsim,-0.699245928217047,4.40482514423224e-18
CG10710,NPF_Dh31,melsim,-0.670431842910506,9.06130517057792e-14
CG10710,GABA_3,melsim,-0.980008524812534,4.62148897449531e-24
CG10710,NPF_AstA,melsim,-0.681177815980459,2.58234614894636e-07
CG10710,Glu_4,melsim,-0.676958284801929,4.01214122993113e-34
CG10710,RYa,melsim,-0.598259323334614,9.81311949435863e-08
CG10710,fru_11,melsim,-0.817135942850189,1.9224901424242e-08
CG10710,Clock_1,melsim,-0.960930435321408,1.35927070980627e-26
CG10710,Poxn_5,melsim,-1.1926450779424,0.0014062601958349
CG10710,fru_8,melsim,-0.792195114886598,1.3140185553413e-09
CG10710,Tk_2,melsim,-0.734538856771666,1.16858647364884e-16
CG10710,AstC_FMRFa,melsim,-0.881355503501381,4.63606459593367e-10
CG10710,Tk_Mip_RYa,melsim,-1.15754127698648,9.36302749404378e-14
CG10710,Glu_12,melsim,-1.05692503506482,5.4952070679439e-12
CG10710,Ach_10,melsim,-0.616671360448494,2.70369880114753e-09
CG10710,Tk_sNPF,melsim,-1.08246216019197,1.25327161377257e-05
CG10710,FMRFa,melsim,-1.3743955147815,2.98630802806226e-05
CG10710,Glu_9,simsec,1.05970624612427,2.63781227339988e-21
CG10710,fru_1,simsec,0.65133552264051,1.80040382543085e-61
CG10710,sNPF,simsec,0.691332468410132,3.57640522210097e-36
