gene,cluster,species,percent_expressed,n_high_expression_celltype,n_gene_per_cluster
Amph,AST,Dmel,0.936,5,47
Amph,AST,Dsec,0.753,5,47
Amph,AST,Dsim,0.912,5,47
CAH1,AST,Dmel,0.577,2,47
CAH1,AST,Dsec,0.474,2,47
CAH1,AST,Dsim,0.553,2,47
CG15209,AST,Dmel,0.487,2,47
CG15209,AST,Dsec,0.525,2,47
CG15209,AST,Dsim,0.462,2,47
CG1537,AST,Dmel,0.499,1,47
CG1537,AST,Dsec,0.373,1,47
CG1537,AST,Dsim,0.519,1,47
CG1552,AST,Dmel,0.985,3,47
CG1552,AST,Dsec,0.895,3,47
CG1552,AST,Dsim,0.832,3,47
CG31705,AST,Dmel,0.675,1,47
CG31705,AST,Dsec,0.58,1,47
CG31705,AST,Dsim,0.509,1,47
CG42788,AST,Dmel,0.695,14,47
CG42788,AST,Dsec,0.888,14,47
CG42788,AST,Dsim,0.686,14,47
CG43693,AST,Dmel,0.684,1,47
CG43693,AST,Dsec,0.688,1,47
CG43693,AST,Dsim,0.899,1,47
CG4829,AST,Dmel,0.625,4,47
CG4829,AST,Dsec,0.689,4,47
CG4829,AST,Dsim,0.471,4,47
CG5758,AST,Dmel,0.578,5,47
CG5758,AST,Dsec,0.689,5,47
CG5758,AST,Dsim,0.719,5,47
CG7029,AST,Dmel,0.629,9,47
CG7029,AST,Dsec,0.752,9,47
CG7029,AST,Dsim,0.769,9,47
CG7607,AST,Dmel,0.548,2,47
CG7607,AST,Dsec,0.371,2,47
CG7607,AST,Dsim,0.463,2,47
CG8369,AST,Dmel,0.475,2,47
CG8369,AST,Dsec,0.459,2,47
CG8369,AST,Dsim,0.558,2,47
CG9328,AST,Dmel,0.303,12,47
CG9328,AST,Dsec,0.544,12,47
CG9328,AST,Dsim,0.499,12,47
CG9394,AST,Dmel,0.845,1,47
CG9394,AST,Dsec,0.653,1,47
CG9394,AST,Dsim,0.81,1,47
Eaat1,AST,Dmel,0.953,1,47
Eaat1,AST,Dsec,0.867,1,47
Eaat1,AST,Dsim,0.897,1,47
Efa6,AST,Dmel,0.552,13,47
Efa6,AST,Dsec,0.451,13,47
Efa6,AST,Dsim,0.529,13,47
Galphai,AST,Dmel,0.35,2,47
Galphai,AST,Dsec,0.322,2,47
Galphai,AST,Dsim,0.421,2,47
Gat,AST,Dmel,0.857,2,47
Gat,AST,Dsec,0.846,2,47
Gat,AST,Dsim,0.892,2,47
Gs2,AST,Dmel,0.938,3,47
Gs2,AST,Dsec,0.99,3,47
Gs2,AST,Dsim,0.984,3,47
HisT,AST,Dmel,0.678,4,47
HisT,AST,Dsec,0.769,4,47
HisT,AST,Dsim,0.981,4,47
IP3K2,AST,Dmel,0.361,3,47
IP3K2,AST,Dsec,0.636,3,47
IP3K2,AST,Dsim,0.541,3,47
Inx2,AST,Dmel,0.382,1,47
Inx2,AST,Dsec,0.344,1,47
Inx2,AST,Dsim,0.454,1,47
Msr-110,AST,Dmel,0.776,4,47
Msr-110,AST,Dsec,0.582,4,47
Msr-110,AST,Dsim,0.55,4,47
N,AST,Dmel,0.534,4,47
N,AST,Dsec,0.495,4,47
N,AST,Dsim,0.356,4,47
Pdk,AST,Dmel,0.396,1,47
Pdk,AST,Dsec,0.306,1,47
Pdk,AST,Dsim,0.349,1,47
Pkn,AST,Dmel,0.41,10,47
Pkn,AST,Dsec,0.368,10,47
Pkn,AST,Dsim,0.366,10,47
Rh50,AST,Dmel,0.705,1,47
Rh50,AST,Dsec,0.456,1,47
Rh50,AST,Dsim,0.44,1,47
RhoGAP18B,AST,Dmel,0.5,5,47
RhoGAP18B,AST,Dsec,0.388,5,47
RhoGAP18B,AST,Dsim,0.434,5,47
RpL22,AST,Dmel,0.392,1,47
RpL22,AST,Dsec,0.359,1,47
RpL22,AST,Dsim,0.687,1,47
S,AST,Dmel,0.589,4,47
S,AST,Dsec,0.34,4,47
S,AST,Dsim,0.484,4,47
Treh,AST,Dmel,0.684,3,47
Treh,AST,Dsec,0.78,3,47
Treh,AST,Dsim,0.632,3,47
Tsp5D,AST,Dmel,0.753,1,47
Tsp5D,AST,Dsec,0.458,1,47
Tsp5D,AST,Dsim,0.65,1,47
alrm,AST,Dmel,0.805,1,47
alrm,AST,Dsec,0.324,1,47
alrm,AST,Dsim,0.582,1,47
bbc,AST,Dmel,0.414,4,47
bbc,AST,Dsec,0.341,4,47
bbc,AST,Dsim,0.549,4,47
blot,AST,Dmel,0.649,4,47
blot,AST,Dsec,0.998,4,47
blot,AST,Dsim,0.999,4,47
cnc,AST,Dmel,0.315,16,47
cnc,AST,Dsec,0.359,16,47
cnc,AST,Dsim,0.331,16,47
kibra,AST,Dmel,0.435,6,47
kibra,AST,Dsec,0.506,6,47
kibra,AST,Dsim,0.474,6,47
mbc,AST,Dmel,0.414,1,47
mbc,AST,Dsec,0.653,1,47
mbc,AST,Dsim,0.576,1,47
nrv2,AST,Dmel,0.526,3,47
nrv2,AST,Dsec,0.506,3,47
nrv2,AST,Dsim,0.491,3,47
ogre,AST,Dmel,0.737,3,47
ogre,AST,Dsec,0.553,3,47
ogre,AST,Dsim,0.632,3,47
pnt,AST,Dmel,0.713,5,47
pnt,AST,Dsec,0.961,5,47
pnt,AST,Dsim,0.85,5,47
stumps,AST,Dmel,0.492,3,47
stumps,AST,Dsec,0.526,3,47
stumps,AST,Dsim,0.587,3,47
vir-1,AST,Dmel,0.674,3,47
vir-1,AST,Dsec,0.527,3,47
vir-1,AST,Dsim,0.438,3,47
wgn,AST,Dmel,0.372,1,47
wgn,AST,Dsec,0.446,1,47
wgn,AST,Dsim,0.42,1,47
wun,AST,Dmel,0.396,1,47
wun,AST,Dsec,0.385,1,47
wun,AST,Dsim,0.455,1,47
wun2,AST,Dmel,0.359,1,47
wun2,AST,Dsec,0.38,1,47
wun2,AST,Dsim,0.341,1,47
CG13995,Ach_1,Dmel,0.354,6,9
CG13995,Ach_1,Dsec,0.375,6,9
CG13995,Ach_1,Dsim,0.371,6,9
CanB,Ach_1,Dmel,0.435,8,9
CanB,Ach_1,Dsec,0.311,8,9
CanB,Ach_1,Dsim,0.325,8,9
Epac,Ach_1,Dmel,0.329,9,9
Epac,Ach_1,Dsec,0.328,9,9
Epac,Ach_1,Dsim,0.35,9,9
Idit,Ach_1,Dmel,0.372,21,9
Idit,Ach_1,Dsec,0.35,21,9
Idit,Ach_1,Dsim,0.366,21,9
OtopLc,Ach_1,Dmel,0.353,18,9
OtopLc,Ach_1,Dsec,0.432,18,9
OtopLc,Ach_1,Dsim,0.373,18,9
RhoGEF3,Ach_1,Dmel,0.354,12,9
RhoGEF3,Ach_1,Dsec,0.317,12,9
RhoGEF3,Ach_1,Dsim,0.309,12,9
arm,Ach_1,Dmel,0.3,14,9
arm,Ach_1,Dsec,0.312,14,9
arm,Ach_1,Dsim,0.338,14,9
bi,Ach_1,Dmel,0.432,18,9
bi,Ach_1,Dsec,0.421,18,9
bi,Ach_1,Dsim,0.446,18,9
smal,Ach_1,Dmel,0.334,20,9
smal,Ach_1,Dsec,0.305,20,9
smal,Ach_1,Dsim,0.305,20,9
5-HT7,Ach_10,Dmel,0.316,10,22
5-HT7,Ach_10,Dsec,0.387,10,22
5-HT7,Ach_10,Dsim,0.325,10,22
Bx,Ach_10,Dmel,0.785,21,22
Bx,Ach_10,Dsec,0.753,21,22
Bx,Ach_10,Dsim,0.787,21,22
CG14459,Ach_10,Dmel,0.443,17,22
CG14459,Ach_10,Dsec,0.507,17,22
CG14459,Ach_10,Dsim,0.514,17,22
CG1688,Ach_10,Dmel,0.468,10,22
CG1688,Ach_10,Dsec,0.355,10,22
CG1688,Ach_10,Dsim,0.388,10,22
CG31191,Ach_10,Dmel,0.582,15,22
CG31191,Ach_10,Dsec,0.687,15,22
CG31191,Ach_10,Dsim,0.525,15,22
CG32204,Ach_10,Dmel,0.418,16,22
CG32204,Ach_10,Dsec,0.441,16,22
CG32204,Ach_10,Dsim,0.375,16,22
CG42673,Ach_10,Dmel,0.557,14,22
CG42673,Ach_10,Dsec,0.673,14,22
CG42673,Ach_10,Dsim,0.512,14,22
CG8086,Ach_10,Dmel,0.38,1,22
CG8086,Ach_10,Dsec,0.387,1,22
CG8086,Ach_10,Dsim,0.35,1,22
DIP-gamma,Ach_10,Dmel,0.354,5,22
DIP-gamma,Ach_10,Dsec,0.48,5,22
DIP-gamma,Ach_10,Dsim,0.324,5,22
Dh44,Ach_10,Dmel,0.861,10,22
Dh44,Ach_10,Dsec,0.893,10,22
Dh44,Ach_10,Dsim,0.895,10,22
Drl-2,Ach_10,Dmel,0.316,15,22
Drl-2,Ach_10,Dsec,0.398,15,22
Drl-2,Ach_10,Dsim,0.4,15,22
Fis1,Ach_10,Dmel,0.329,3,22
Fis1,Ach_10,Dsec,0.323,3,22
Fis1,Ach_10,Dsim,0.305,3,22
Nep1,Ach_10,Dmel,0.557,15,22
Nep1,Ach_10,Dsec,0.68,15,22
Nep1,Ach_10,Dsim,0.338,15,22
Oct-TyrR,Ach_10,Dmel,0.418,12,22
Oct-TyrR,Ach_10,Dsec,0.32,12,22
Oct-TyrR,Ach_10,Dsim,0.438,12,22
RpL28,Ach_10,Dmel,0.38,19,22
RpL28,Ach_10,Dsec,0.3,19,22
RpL28,Ach_10,Dsim,0.325,19,22
Tbh,Ach_10,Dmel,0.329,11,22
Tbh,Ach_10,Dsec,0.527,11,22
Tbh,Ach_10,Dsim,0.41,11,22
dpr3,Ach_10,Dmel,0.304,5,22
dpr3,Ach_10,Dsec,0.367,5,22
dpr3,Ach_10,Dsim,0.39,5,22
rdo,Ach_10,Dmel,0.316,8,22
rdo,Ach_10,Dsec,0.427,8,22
rdo,Ach_10,Dsim,0.362,8,22
rn,Ach_10,Dmel,0.354,17,22
rn,Ach_10,Dsec,0.42,17,22
rn,Ach_10,Dsim,0.314,17,22
robo2,Ach_10,Dmel,0.43,6,22
robo2,Ach_10,Dsec,0.344,6,22
robo2,Ach_10,Dsim,0.343,6,22
twz,Ach_10,Dmel,0.367,3,22
twz,Ach_10,Dsec,0.32,3,22
twz,Ach_10,Dsim,0.4,3,22
wake,Ach_10,Dmel,0.443,10,22
wake,Ach_10,Dsec,0.323,10,22
wake,Ach_10,Dsim,0.343,10,22
ATP8B,Ach_11,Dmel,0.528,8,49
ATP8B,Ach_11,Dsec,0.523,8,49
ATP8B,Ach_11,Dsim,0.446,8,49
BicD,Ach_11,Dmel,0.321,10,49
BicD,Ach_11,Dsec,0.362,10,49
BicD,Ach_11,Dsim,0.37,10,49
CG12769,Ach_11,Dmel,0.349,4,49
CG12769,Ach_11,Dsec,0.384,4,49
CG12769,Ach_11,Dsim,0.348,4,49
CG15894,Ach_11,Dmel,0.396,14,49
CG15894,Ach_11,Dsec,0.57,14,49
CG15894,Ach_11,Dsim,0.452,14,49
CG17124,Ach_11,Dmel,0.509,7,49
CG17124,Ach_11,Dsec,0.425,7,49
CG17124,Ach_11,Dsim,0.581,7,49
CG3009,Ach_11,Dmel,0.425,8,49
CG3009,Ach_11,Dsec,0.43,8,49
CG3009,Ach_11,Dsim,0.489,8,49
CG32085,Ach_11,Dmel,0.321,9,49
CG32085,Ach_11,Dsec,0.302,9,49
CG32085,Ach_11,Dsim,0.312,9,49
CG34384,Ach_11,Dmel,0.528,21,49
CG34384,Ach_11,Dsec,0.477,21,49
CG34384,Ach_11,Dsim,0.391,21,49
CG3655,Ach_11,Dmel,0.377,13,49
CG3655,Ach_11,Dsec,0.475,13,49
CG3655,Ach_11,Dsim,0.391,13,49
CG42673,Ach_11,Dmel,0.509,14,49
CG42673,Ach_11,Dsec,0.85,14,49
CG42673,Ach_11,Dsim,0.333,14,49
CG43066,Ach_11,Dmel,0.443,21,49
CG43066,Ach_11,Dsec,0.362,21,49
CG43066,Ach_11,Dsim,0.38,21,49
CG43902,Ach_11,Dmel,0.726,21,49
CG43902,Ach_11,Dsec,0.744,21,49
CG43902,Ach_11,Dsim,0.753,21,49
CG5758,Ach_11,Dmel,0.358,5,49
CG5758,Ach_11,Dsec,0.407,5,49
CG5758,Ach_11,Dsim,0.452,5,49
COX4,Ach_11,Dmel,0.425,16,49
COX4,Ach_11,Dsec,0.412,16,49
COX4,Ach_11,Dsim,0.511,16,49
Cipc,Ach_11,Dmel,0.604,17,49
Cipc,Ach_11,Dsec,0.5,17,49
Cipc,Ach_11,Dsim,0.753,17,49
DIP-eta,Ach_11,Dmel,0.67,6,49
DIP-eta,Ach_11,Dsec,0.512,6,49
DIP-eta,Ach_11,Dsim,0.849,6,49
Dop1R2,Ach_11,Dmel,0.434,15,49
Dop1R2,Ach_11,Dsec,0.686,15,49
Dop1R2,Ach_11,Dsim,0.484,15,49
Efa6,Ach_11,Dmel,0.321,13,49
Efa6,Ach_11,Dsec,0.302,13,49
Efa6,Ach_11,Dsim,0.301,13,49
Mbs,Ach_11,Dmel,0.34,21,49
Mbs,Ach_11,Dsec,0.362,21,49
Mbs,Ach_11,Dsim,0.301,21,49
Nadsyn,Ach_11,Dmel,0.425,19,49
Nadsyn,Ach_11,Dsec,0.465,19,49
Nadsyn,Ach_11,Dsim,0.484,19,49
Nup153,Ach_11,Dmel,0.302,8,49
Nup153,Ach_11,Dsec,0.384,8,49
Nup153,Ach_11,Dsim,0.312,8,49
Prps,Ach_11,Dmel,0.34,21,49
Prps,Ach_11,Dsec,0.462,21,49
Prps,Ach_11,Dsim,0.337,21,49
RpL24,Ach_11,Dmel,0.311,14,49
RpL24,Ach_11,Dsec,0.337,14,49
RpL24,Ach_11,Dsim,0.304,14,49
RpL31,Ach_11,Dmel,0.302,17,49
RpL31,Ach_11,Dsec,0.338,17,49
RpL31,Ach_11,Dsim,0.337,17,49
RpL37-1,Ach_11,Dmel,0.358,20,49
RpL37-1,Ach_11,Dsec,0.302,20,49
RpL37-1,Ach_11,Dsim,0.304,20,49
RpL6,Ach_11,Dmel,0.406,20,49
RpL6,Ach_11,Dsec,0.325,20,49
RpL6,Ach_11,Dsim,0.337,20,49
RpS18,Ach_11,Dmel,0.462,14,49
RpS18,Ach_11,Dsec,0.35,14,49
RpS18,Ach_11,Dsim,0.337,14,49
Sox102F,Ach_11,Dmel,0.632,7,49
Sox102F,Ach_11,Dsec,0.628,7,49
Sox102F,Ach_11,Dsim,0.774,7,49
Sulf1,Ach_11,Dmel,0.443,1,49
Sulf1,Ach_11,Dsec,0.407,1,49
Sulf1,Ach_11,Dsim,0.43,1,49
acj6,Ach_11,Dmel,0.934,7,49
acj6,Ach_11,Dsec,0.95,7,49
acj6,Ach_11,Dsim,0.925,7,49
bi,Ach_11,Dmel,0.953,18,49
bi,Ach_11,Dsec,0.95,18,49
bi,Ach_11,Dsim,0.87,18,49
ckn,Ach_11,Dmel,0.377,19,49
ckn,Ach_11,Dsec,0.375,19,49
ckn,Ach_11,Dsim,0.337,19,49
da,Ach_11,Dmel,0.302,12,49
da,Ach_11,Dsec,0.384,12,49
da,Ach_11,Dsim,0.359,12,49
dsd,Ach_11,Dmel,0.349,19,49
dsd,Ach_11,Dsec,0.337,19,49
dsd,Ach_11,Dsim,0.315,19,49
fkh,Ach_11,Dmel,0.538,16,49
fkh,Ach_11,Dsec,0.575,16,49
fkh,Ach_11,Dsim,0.62,16,49
fra,Ach_11,Dmel,0.377,4,49
fra,Ach_11,Dsec,0.384,4,49
fra,Ach_11,Dsim,0.462,4,49
haf,Ach_11,Dmel,0.302,13,49
haf,Ach_11,Dsec,0.453,13,49
haf,Ach_11,Dsim,0.315,13,49
kek6,Ach_11,Dmel,0.434,16,49
kek6,Ach_11,Dsec,0.412,16,49
kek6,Ach_11,Dsim,0.398,16,49
kug,Ach_11,Dmel,0.462,15,49
kug,Ach_11,Dsec,0.488,15,49
kug,Ach_11,Dsim,0.516,15,49
rgn,Ach_11,Dmel,0.547,10,49
rgn,Ach_11,Dsec,0.465,10,49
rgn,Ach_11,Dsim,0.424,10,49
rn,Ach_11,Dmel,0.66,17,49
rn,Ach_11,Dsec,0.588,17,49
rn,Ach_11,Dsim,0.598,17,49
salm,Ach_11,Dmel,0.453,12,49
salm,Ach_11,Dsec,0.64,12,49
salm,Ach_11,Dsim,0.667,12,49
salr,Ach_11,Dmel,0.613,15,49
salr,Ach_11,Dsec,0.628,15,49
salr,Ach_11,Dsim,0.71,15,49
sba,Ach_11,Dmel,0.349,13,49
sba,Ach_11,Dsec,0.651,13,49
sba,Ach_11,Dsim,0.634,13,49
side-V,Ach_11,Dmel,0.491,16,49
side-V,Ach_11,Dsec,0.442,16,49
side-V,Ach_11,Dsim,0.581,16,49
sr,Ach_11,Dmel,0.396,14,49
sr,Ach_11,Dsec,0.488,14,49
sr,Ach_11,Dsim,0.398,14,49
tbc,Ach_11,Dmel,0.415,6,49
tbc,Ach_11,Dsec,0.477,6,49
tbc,Ach_11,Dsim,0.366,6,49
tipE,Ach_11,Dmel,0.358,8,49
tipE,Ach_11,Dsec,0.349,8,49
tipE,Ach_11,Dsim,0.72,8,49
vex,Ach_11,Dmel,0.406,14,49
vex,Ach_11,Dsec,0.36,14,49
vex,Ach_11,Dsim,0.495,14,49
ATPsynbeta,Ach_12,Dmel,0.519,17,71
ATPsynbeta,Ach_12,Dsec,0.322,17,71
ATPsynbeta,Ach_12,Dsim,0.464,17,71
Ac78C,Ach_12,Dmel,0.925,2,71
Ac78C,Ach_12,Dsec,0.54,2,71
Ac78C,Ach_12,Dsim,0.44,2,71
Atg8a,Ach_12,Dmel,0.358,18,71
Atg8a,Ach_12,Dsec,0.391,18,71
Atg8a,Ach_12,Dsim,0.357,18,71
Atx2,Ach_12,Dmel,0.453,7,71
Atx2,Ach_12,Dsec,0.368,7,71
Atx2,Ach_12,Dsim,0.464,7,71
BicD,Ach_12,Dmel,0.594,10,71
BicD,Ach_12,Dsec,0.563,10,71
BicD,Ach_12,Dsim,0.512,10,71
CG11317,Ach_12,Dmel,0.613,2,71
CG11317,Ach_12,Dsec,0.517,2,71
CG11317,Ach_12,Dsim,0.44,2,71
CG13784,Ach_12,Dmel,0.33,19,71
CG13784,Ach_12,Dsec,0.31,19,71
CG13784,Ach_12,Dsim,0.393,19,71
CG13868,Ach_12,Dmel,0.453,8,71
CG13868,Ach_12,Dsec,0.437,8,71
CG13868,Ach_12,Dsim,0.548,8,71
CG14322,Ach_12,Dmel,0.302,5,71
CG14322,Ach_12,Dsec,0.655,5,71
CG14322,Ach_12,Dsim,0.44,5,71
CG14853,Ach_12,Dmel,0.491,3,71
CG14853,Ach_12,Dsec,0.644,3,71
CG14853,Ach_12,Dsim,0.571,3,71
CG1513,Ach_12,Dmel,0.491,1,71
CG1513,Ach_12,Dsec,0.563,1,71
CG1513,Ach_12,Dsim,0.702,1,71
CG15803,Ach_12,Dmel,0.462,2,71
CG15803,Ach_12,Dsec,0.747,2,71
CG15803,Ach_12,Dsim,0.738,2,71
CG17364,Ach_12,Dmel,0.302,4,71
CG17364,Ach_12,Dsec,0.322,4,71
CG17364,Ach_12,Dsim,0.333,4,71
CG1965,Ach_12,Dmel,0.349,3,71
CG1965,Ach_12,Dsec,0.333,3,71
CG1965,Ach_12,Dsim,0.476,3,71
CG2258,Ach_12,Dmel,0.406,3,71
CG2258,Ach_12,Dsec,0.414,3,71
CG2258,Ach_12,Dsim,0.369,3,71
CG3009,Ach_12,Dmel,0.302,8,71
CG3009,Ach_12,Dsec,0.517,8,71
CG3009,Ach_12,Dsim,0.345,8,71
CG3198,Ach_12,Dmel,0.34,15,71
CG3198,Ach_12,Dsec,0.425,15,71
CG3198,Ach_12,Dsim,0.476,15,71
CG32085,Ach_12,Dmel,0.321,9,71
CG32085,Ach_12,Dsec,0.529,9,71
CG32085,Ach_12,Dsim,0.488,9,71
CG32373,Ach_12,Dmel,0.33,18,71
CG32373,Ach_12,Dsec,0.31,18,71
CG32373,Ach_12,Dsim,0.31,18,71
CG32647,Ach_12,Dmel,0.906,19,71
CG32647,Ach_12,Dsec,0.632,19,71
CG32647,Ach_12,Dsim,0.893,19,71
CG33543,Ach_12,Dmel,0.83,14,71
CG33543,Ach_12,Dsec,0.563,14,71
CG33543,Ach_12,Dsim,0.762,14,71
CG34393,Ach_12,Dmel,0.632,11,71
CG34393,Ach_12,Dsec,0.448,11,71
CG34393,Ach_12,Dsim,0.357,11,71
CG3726,Ach_12,Dmel,0.396,14,71
CG3726,Ach_12,Dsec,0.529,14,71
CG3726,Ach_12,Dsim,0.429,14,71
CG3961,Ach_12,Dmel,0.509,5,71
CG3961,Ach_12,Dsec,0.494,5,71
CG3961,Ach_12,Dsim,0.476,5,71
CG4238,Ach_12,Dmel,0.528,17,71
CG4238,Ach_12,Dsec,0.483,17,71
CG4238,Ach_12,Dsim,0.548,17,71
CG42673,Ach_12,Dmel,0.368,14,71
CG42673,Ach_12,Dsec,0.31,14,71
CG42673,Ach_12,Dsim,0.655,14,71
CG43066,Ach_12,Dmel,0.5,21,71
CG43066,Ach_12,Dsec,0.345,21,71
CG43066,Ach_12,Dsim,0.405,21,71
CG43902,Ach_12,Dmel,0.519,21,71
CG43902,Ach_12,Dsec,0.805,21,71
CG43902,Ach_12,Dsim,0.5,21,71
CG4678,Ach_12,Dmel,0.5,10,71
CG4678,Ach_12,Dsec,0.356,10,71
CG4678,Ach_12,Dsim,0.381,10,71
CG6154,Ach_12,Dmel,0.708,2,71
CG6154,Ach_12,Dsec,0.609,2,71
CG6154,Ach_12,Dsim,0.714,2,71
CG9171,Ach_12,Dmel,0.396,8,71
CG9171,Ach_12,Dsec,0.379,8,71
CG9171,Ach_12,Dsim,0.488,8,71
Camta,Ach_12,Dmel,0.755,2,71
Camta,Ach_12,Dsec,0.931,2,71
Camta,Ach_12,Dsim,0.81,2,71
Cipc,Ach_12,Dmel,0.585,17,71
Cipc,Ach_12,Dsec,0.736,17,71
Cipc,Ach_12,Dsim,0.81,17,71
Gycbeta100B,Ach_12,Dmel,0.575,20,71
Gycbeta100B,Ach_12,Dsec,0.333,20,71
Gycbeta100B,Ach_12,Dsim,0.464,20,71
Hs6st,Ach_12,Dmel,0.811,15,71
Hs6st,Ach_12,Dsec,0.391,15,71
Hs6st,Ach_12,Dsim,0.619,15,71
KCNQ,Ach_12,Dmel,0.613,4,71
KCNQ,Ach_12,Dsec,0.471,4,71
KCNQ,Ach_12,Dsim,0.476,4,71
Kr-h1,Ach_12,Dmel,0.406,3,71
Kr-h1,Ach_12,Dsec,0.414,3,71
Kr-h1,Ach_12,Dsim,0.655,3,71
Lim3,Ach_12,Dmel,0.632,6,71
Lim3,Ach_12,Dsec,0.69,6,71
Lim3,Ach_12,Dsim,0.679,6,71
Mur2B,Ach_12,Dmel,0.925,14,71
Mur2B,Ach_12,Dsec,0.575,14,71
Mur2B,Ach_12,Dsim,0.774,14,71
Nadsyn,Ach_12,Dmel,0.453,19,71
Nadsyn,Ach_12,Dsec,0.678,19,71
Nadsyn,Ach_12,Dsim,0.488,19,71
Oamb,Ach_12,Dmel,0.66,9,71
Oamb,Ach_12,Dsec,0.598,9,71
Oamb,Ach_12,Dsim,0.5,9,71
Orp8,Ach_12,Dmel,0.802,8,71
Orp8,Ach_12,Dsec,0.31,8,71
Orp8,Ach_12,Dsim,0.619,8,71
RyR,Ach_12,Dmel,0.632,4,71
RyR,Ach_12,Dsec,0.402,4,71
RyR,Ach_12,Dsim,0.571,4,71
SP2353,Ach_12,Dmel,0.321,19,71
SP2353,Ach_12,Dsec,0.391,19,71
SP2353,Ach_12,Dsim,0.464,19,71
Saf-B,Ach_12,Dmel,0.566,10,71
Saf-B,Ach_12,Dsec,0.425,10,71
Saf-B,Ach_12,Dsim,0.69,10,71
Svil,Ach_12,Dmel,0.443,12,71
Svil,Ach_12,Dsec,0.322,12,71
Svil,Ach_12,Dsim,0.393,12,71
Teh2,Ach_12,Dmel,0.557,19,71
Teh2,Ach_12,Dsec,0.655,19,71
Teh2,Ach_12,Dsim,0.619,19,71
Tmtc1,Ach_12,Dmel,0.594,5,71
Tmtc1,Ach_12,Dsec,0.379,5,71
Tmtc1,Ach_12,Dsim,0.488,5,71
acj6,Ach_12,Dmel,0.934,7,71
acj6,Ach_12,Dsec,0.874,7,71
acj6,Ach_12,Dsim,0.869,7,71
arm,Ach_12,Dmel,0.34,14,71
arm,Ach_12,Dsec,0.391,14,71
arm,Ach_12,Dsim,0.488,14,71
beat-Va,Ach_12,Dmel,0.472,11,71
beat-Va,Ach_12,Dsec,0.529,11,71
beat-Va,Ach_12,Dsim,0.417,11,71
beat-Vc,Ach_12,Dmel,0.66,8,71
beat-Vc,Ach_12,Dsec,0.644,8,71
beat-Vc,Ach_12,Dsim,0.571,8,71
bi,Ach_12,Dmel,0.943,18,71
bi,Ach_12,Dsec,0.862,18,71
bi,Ach_12,Dsim,0.857,18,71
br,Ach_12,Dmel,1,17,71
br,Ach_12,Dsec,1,17,71
br,Ach_12,Dsim,1,17,71
ckn,Ach_12,Dmel,0.538,19,71
ckn,Ach_12,Dsec,0.333,19,71
ckn,Ach_12,Dsim,0.405,19,71
dsd,Ach_12,Dmel,0.321,19,71
dsd,Ach_12,Dsec,0.425,19,71
dsd,Ach_12,Dsim,0.357,19,71
ewg,Ach_12,Dmel,0.453,2,71
ewg,Ach_12,Dsec,0.552,2,71
ewg,Ach_12,Dsim,0.512,2,71
fkh,Ach_12,Dmel,0.566,16,71
fkh,Ach_12,Dsec,0.644,16,71
fkh,Ach_12,Dsim,0.69,16,71
haf,Ach_12,Dmel,0.491,13,71
haf,Ach_12,Dsec,0.402,13,71
haf,Ach_12,Dsim,0.524,13,71
kn,Ach_12,Dmel,0.623,3,71
kn,Ach_12,Dsec,0.69,3,71
kn,Ach_12,Dsim,0.667,3,71
mAChR-B,Ach_12,Dmel,0.594,18,71
mAChR-B,Ach_12,Dsec,0.356,18,71
mAChR-B,Ach_12,Dsim,0.667,18,71
na,Ach_12,Dmel,0.425,2,71
na,Ach_12,Dsec,0.31,2,71
na,Ach_12,Dsim,0.369,2,71
plx,Ach_12,Dmel,0.311,7,71
plx,Ach_12,Dsec,0.368,7,71
plx,Ach_12,Dsim,0.357,7,71
qtc,Ach_12,Dmel,0.349,1,71
qtc,Ach_12,Dsec,0.31,1,71
qtc,Ach_12,Dsim,0.476,1,71
rdo,Ach_12,Dmel,0.415,8,71
rdo,Ach_12,Dsec,0.621,8,71
rdo,Ach_12,Dsim,0.679,8,71
sdk,Ach_12,Dmel,0.604,7,71
sdk,Ach_12,Dsec,0.609,7,71
sdk,Ach_12,Dsim,0.702,7,71
sli,Ach_12,Dmel,0.311,17,71
sli,Ach_12,Dsec,0.333,17,71
sli,Ach_12,Dsim,0.452,17,71
tbc,Ach_12,Dmel,0.387,6,71
tbc,Ach_12,Dsec,0.632,6,71
tbc,Ach_12,Dsim,0.417,6,71
tipE,Ach_12,Dmel,0.755,8,71
tipE,Ach_12,Dsec,0.632,8,71
tipE,Ach_12,Dsim,0.905,8,71
tweek,Ach_12,Dmel,0.453,1,71
tweek,Ach_12,Dsec,0.437,1,71
tweek,Ach_12,Dsim,0.369,1,71
vex,Ach_12,Dmel,0.311,14,71
vex,Ach_12,Dsec,0.425,14,71
vex,Ach_12,Dsim,0.357,14,71
ATPsynF,Ach_13,Dmel,0.537,8,77
ATPsynF,Ach_13,Dsec,0.385,8,77
ATPsynF,Ach_13,Dsim,0.494,8,77
ATPsynG,Ach_13,Dmel,0.317,1,77
ATPsynG,Ach_13,Dsec,0.449,1,77
ATPsynG,Ach_13,Dsim,0.315,1,77
ATPsynbeta,Ach_13,Dmel,0.634,17,77
ATPsynbeta,Ach_13,Dsec,0.346,17,77
ATPsynbeta,Ach_13,Dsim,0.629,17,77
Atg1,Ach_13,Dmel,0.341,11,77
Atg1,Ach_13,Dsec,0.308,11,77
