"gene","cluster","p_val_adj","avg_log2FC","pct_exp_Dsim","pct_exp_Dsec"
"CG10962","Clock_1",7.90441611991112e-09,-0.674484596904883,0,0.252
"CG10962","Dh31",9.92364267526364e-09,-0.660513533728333,0,0.344
"CG10962","Tk_3",8.36614765933774e-08,-1.30932805810773,0,0.717
"CG10962","fru_9",6.74449769944329e-07,-1.17632277264046,0,0.6
"CG10962","fru_7",1.17034955830508e-06,-0.85913746416015,0,0.372
"CG10962","Ach_15",1.47117852952168e-05,-0.899835838074568,0,0.366
"CG10962","SER",2.65431602128098e-05,-1.75002174699165,0,0.727
"CG10962","Glu_14",7.47867866299411e-05,-1.02934396158214,0,0.438
"CG10962","Glu_12",8.054942216045e-05,-0.643856189774725,0,0.297
"CG10962","Tk_Mip_RYa",0.00014701239752125,-0.972519263577893,0.019,0.481
"CG10962","Clock_3",0.000497732666532796,-0.708365322241204,0.013,0.361
"CG10962","AstC_FMRFa",0.00053614224533839,-0.906890595608518,0,0.422
"CG10962","fru_14",0.00169038427519372,-1.03394733192334,0,0.714
"CG10962","DOP_2",0.00193528762823737,-0.906251244815476,0.017,0.365
"CG10962","fru_12",0.00378869132166224,-1.17449773123214,0,0.457
"CG10962","FMRFa",0.0187494959530051,-0.955605880641547,0,0.485
"CG10962","Ach_14",0.0188749993217387,-0.618909832644494,0,0.232
"CG12239","α'β'-KC",2.61447763061273e-26,-0.819389264117745,0.012,0.2
"CG14331","fru_10",3.09513416792911e-09,1.13145085362768,1,0.767
"CG15196","γ-KC",6.62556332676339e-243,-0.738558852241874,0,0.427
"CG15196","αβ-KC_1",2.82515036115897e-219,-0.647826415884508,0,0.353
"CG15196","α'β'-KC",7.63243810366281e-139,-0.981928427077982,0,0.527
"CG15196","DOP_1",5.19412162423159e-42,-0.69849144635157,0,0.377
"CG15196","αβ-KC_2",4.91276358881129e-23,-0.910732661902913,0,0.547
"CG15196","fru_5",5.06104696697621e-23,-0.826780420645254,0,0.547
"CG15196","Ach_8",1.01321857201628e-17,-0.716207033999409,0,0.464
"CG15196","Clock_2",1.1272738293788e-13,-0.733213459305099,0,0.442
"CG15196","Clock_3",1.24196710925015e-08,-0.713118852211838,0,0.443
"CG15196","Glu_12",3.86635094500094e-08,-0.599912842187128,0,0.406
"CG15196","Glu_13",9.35350694968257e-08,-0.622930350920177,0,0.38
"CG15196","GABA_11",6.47165276455711e-07,-0.640918906695171,0,0.458
"CG15196","GABA_10",1.76080654043426e-05,-0.606988807051155,0,0.4
"CG15196","Tk_Mip_RYa",2.0123127976796e-05,-0.637429920615292,0,0.426
"CG15236","Tk_2",5.03022461788064e-07,0.737398510910907,0.723,0.287
"CG15399","Glu_14",0.0073516820399146,-0.591535154644642,0,0.342
"CG15475","Ach_2",0,-0.996251252935731,0.001,0.524
"CG15475","Ach_1",1.80851009119611e-299,-0.671056278753486,0.002,0.366
"CG15475","Glu_1",4.28888147803006e-286,-0.92633816977006,0.002,0.521
"CG15475","Glu_2",1.88412791849073e-197,-0.748299482291543,0,0.383
"CG15475","Ach_3",1.4054726781294e-181,-0.677011489746345,0,0.358
"CG15475","Ach_4",3.36408893921867e-130,-0.694410153803568,0.001,0.355
"CG15475","Glu_3",7.61936773643731e-126,-0.747969056365249,0.002,0.377
"CG15475","GABA_1",3.5820569574868e-82,-0.802095197454589,0.002,0.436
"CG15475","fru_1",3.49606125238298e-63,-0.722662056136708,0,0.372
"CG15475","fru_2",6.21939635256379e-61,-0.964514449527178,0,0.494
"CG15475","CCHa2",1.64325585185524e-48,-0.877929412631781,0,0.506
"CG15475","sNPF",1.51391539823327e-37,-0.757612745008967,0,0.423
"CG15475","GABA_2",2.69136169138018e-36,-0.698518430014698,0,0.405
"CG15475","Glu_5",2.01490485353347e-31,-0.76718212262829,0.004,0.422
"CG15475","Ach_8",2.02518529105044e-30,-1.22055107451228,0,0.67
"CG15475","DOP/SER",2.775606648465e-29,-0.912257105358334,0,0.522
"CG15475","GABA_4",6.06833309457748e-28,-0.799958945943773,0.004,0.372
"CG15475","Glu_4",4.13215949300047e-27,-0.715923178604319,0,0.412
"CG15475","Ach_6",1.23181569055118e-26,-0.869603362744325,0,0.366
"CG15475","fru_4",2.29743911756078e-23,-0.699133520640467,0,0.376
"CG15475","GABA_8",3.32512904309896e-21,-0.95708170143045,0.007,0.532
"CG15475","Glu_10",5.41812531502253e-21,-1.1096244911745,0,0.611
"CG15475","GABA_7",4.11549667065878e-16,-1,0,0.623
"CG15475","Glu_11",9.8248421645548e-16,-1.07214978575584,0,0.628
"CG15475","fru_7",4.87058664787155e-15,-1.0331668639352,0,0.605
"CG15475","Clock_2",7.6114498741694e-15,-1.01861567816735,0,0.468
"CG15475","fru_6",1.1127282204831e-14,-0.813586875769119,0,0.414
"CG15475","GABA_10",2.80016651912051e-14,-1.22555970041513,0,0.692
"CG15475","GABA_3",9.76358237874639e-14,-0.7241557871149,0,0.37
"CG15475","Ach_10",8.74519793251044e-12,-0.70587360419172,0.01,0.407
"CG15475","Glu_8",1.05848772520239e-11,-0.693338661765948,0,0.383
"CG15475","Tk_1",1.04874057018988e-10,-0.639705465315588,0,0.37
"CG15475","fru_8",3.56014168717351e-10,-0.693572998652826,0,0.432
"CG15475","DOP_2",7.63170499607252e-10,-1.00971515483321,0,0.514
"CG15475","TY_2",9.45517978170067e-10,-1.16046467219325,0,0.765
"CG15475","Ach_11",8.20292345799489e-09,-0.618129364656356,0,0.36
"CG15475","Ach_16",4.75107318111404e-08,-0.746713570717768,0,0.441
"CG15475","sNPF_CCHa2_AstC",5.85895403807008e-08,-0.63925265622211,0,0.327
"CG15475","Ach_14",3.05181405996174e-05,-0.618909832644494,0,0.339
"CG15475","GABA_11",8.6999933797134e-05,-0.65651576174619,0,0.373
"CG15475","GABA_9",0.000218434301783057,-0.678071905112638,0,0.357
"CG15475","TY_1",0.000367235764312933,-0.802553935793783,0,0.395
"CG15475","sNPF_Dh44",0.000772417799110108,-1.23446525363702,0,0.706
"CG15475","fru_11",0.00105940110570628,-0.840521785992804,0.024,0.556
"CG15475","fru_10",0.00464621127300276,-0.925999418556223,0,0.367
"CG15475","SER",0.0460473680782111,-0.750021746991652,0,0.5
"CG17816","TY_1",0.00406571670349448,-1.12660669992159,0.529,0.805
"CG18135","AST",8.05800828893593e-29,-0.75571691420112,0.031,0.252
"CG1909","OPN",3.89609825895879e-14,-0.822344765753826,0.843,0.934
"CG1909","Clock_2",3.16217430352772e-05,-0.943385556408664,0.584,0.871
"CG1909","fru_5",0.0449847281026213,-0.612150512166934,0.768,0.839
"CG3009","PRN",1.99475904046705e-08,-1.30817848492207,0.406,0.64
"CG30116","αβ-KC_2",2.33287870668448e-08,-0.894322529555879,0.514,0.807
"CG3104","AST",4.31771440346008e-33,-0.756450239190295,0.182,0.441
