FBgn0031081	Nep3	Gene Expression
FBgn0052826	tRNA:Pro-CGG-1-1	Gene Expression
FBgn0031085	CG9570	Gene Expression
FBgn0062565	Or19b	Gene Expression
FBgn0031088	CG15322	Gene Expression
FBgn0041626	Or19a	Gene Expression
FBgn0040784	karr	Gene Expression
FBgn0031086	fd19B	Gene Expression
FBgn0031082	lky	Gene Expression
FBgn0031080	CG12655	Gene Expression
FBgn0052821	CR32821	Gene Expression
FBgn0053217	CG33217	Gene Expression
FBgn0052350	Vps11	Gene Expression
FBgn0024733	RpL10	Gene Expression
FBgn0040372	G9a	Gene Expression
FBgn0000316	cin	Gene Expression
FBgn0024989	CG3777	Gene Expression
FBgn0040371	CG12470	Gene Expression
FBgn0029521	Or1a	Gene Expression
FBgn0004034	y	Gene Expression
FBgn0000022	ac	Gene Expression
FBgn0004170	sc	Gene Expression
FBgn0002561	l(1)sc	Gene Expression
FBgn0000137	ase	Gene Expression
FBgn0029522	CG13373	Gene Expression
FBgn0052817	CG32817	Gene Expression
FBgn0029524	CG3176	Gene Expression
FBgn0023536	CG3156	Gene Expression
FBgn0023534	CG17778	Gene Expression
FBgn0023535	arg	Gene Expression
FBgn0023537	CG17896	Gene Expression
FBgn0029525	CG18273	Gene Expression
FBgn0029523	CR18275	Gene Expression
FBgn0010019	Cyp4g1	Gene Expression
FBgn0011822	Pgcl	Gene Expression
FBgn0052816	CG32816	Gene Expression
FBgn0040370	CG13375	Gene Expression
FBgn0040373	CG3038	Gene Expression
FBgn0000108	Appl	Gene Expression
FBgn0025640	CG13369	Gene Expression
FBgn0025635	Hinfp	Gene Expression
FBgn0001341	Mybbp1A	Gene Expression
FBgn0003575	su(sable)	Gene Expression
FBgn0025634	CG13367	Gene Expression
FBgn0025638	Roc1a	Gene Expression
FBgn0040383	CG5254	Gene Expression
FBgn0040382	CG5273	Gene Expression
FBgn0027343	fz3	Gene Expression
FBgn0025621	CG16989	Gene Expression
FBgn0029535	CG14635	Gene Expression
FBgn0026874	CG13358	Gene Expression
FBgn0025616	CG13359	Gene Expression
FBgn0015799	Rbf	Gene Expression
FBgn0025620	CG13360	Gene Expression
FBgn0015288	RpL22	Gene Expression
FBgn0029532	CG13361	Gene Expression
FBgn0029531	CG13362	Gene Expression
FBgn0025639	Hmt4-20	Gene Expression
FBgn0002579	RpL36	Gene Expression
FBgn0026879	CG13364	Gene Expression
FBgn0029529	CG13365	Gene Expression
FBgn0025633	spdi	Gene Expression
FBgn0040892	CG14634	Gene Expression
FBgn0040341	CG11664	Gene Expression
FBgn0029539	CG11663	Gene Expression
FBgn0040339	MED22	Gene Expression
FBgn0052815	CG32815	Gene Expression
FBgn0040340	TRAM	Gene Expression
FBgn0040347	mus81	Gene Expression
FBgn0042146	CG18823	Gene Expression
FBgn0029552	CG14631	Gene Expression
FBgn0040337	CG3021	Gene Expression
FBgn0040398	CG14629	Gene Expression
FBgn0040365	CG14628	Gene Expression
FBgn0040397	CG3655	Gene Expression
FBgn0026143	Cdc45	Gene Expression
FBgn0040351	CG11638	Gene Expression
FBgn0040338	TfIIA-S-2	Gene Expression
FBgn0040350	CG3690	Gene Expression
FBgn0040349	CG3699	Gene Expression
FBgn0040348	CG3703	Gene Expression
FBgn0040346	CG3704	Gene Expression
FBgn0040342	CG3706	Gene Expression
FBgn0040345	CG3708	Gene Expression
FBgn0040343	CG3713	Gene Expression
FBgn0052814	CG32814	Gene Expression
FBgn0040364	CG11378	Gene Expression
FBgn0040362	CG11379	Gene Expression
FBgn0040361	CG14627	Gene Expression
FBgn0040360	CG14626	Gene Expression
FBgn0040359	CG11380	Gene Expression
FBgn0040358	CG14625	Gene Expression
FBgn0029568	CG11381	Gene Expression
FBgn0040357	CG14624	Gene Expression
FBgn0040367	CG11382	Gene Expression
FBgn0025642	CG32812	Gene Expression
FBgn0004650	fs(1)N	Gene Expression
FBgn0024362	Naa30A	Gene Expression
FBgn0024361	Tsp2A	Gene Expression
FBgn0024364	CG11417	Gene Expression
FBgn0029573	CG14770	Gene Expression
FBgn0024987	ssx	Gene Expression
FBgn0023169	AMPKalpha	Gene Expression
FBgn0052813	CG32813	Gene Expression
FBgn0024985	Rilpl	Gene Expression
FBgn0027794	Lrpprc2	Gene Expression
