FBgn0031081	FBgn0031081	Gene Expression
FBgn0052826	FBgn0052826	Gene Expression
FBgn0031085	FBgn0031085	Gene Expression
FBgn0062565	FBgn0062565	Gene Expression
FBgn0031088	FBgn0031088	Gene Expression
FBgn0041626	FBgn0041626	Gene Expression
FBgn0040784	FBgn0040784	Gene Expression
FBgn0031086	FBgn0031086	Gene Expression
FBgn0031082	FBgn0031082	Gene Expression
FBgn0031080	FBgn0031080	Gene Expression
FBgn0052821	FBgn0052821	Gene Expression
FBgn0053217	FBgn0053217	Gene Expression
FBgn0052350	FBgn0052350	Gene Expression
FBgn0024733	FBgn0024733	Gene Expression
FBgn0040372	FBgn0040372	Gene Expression
FBgn0000316	FBgn0000316	Gene Expression
FBgn0024989	FBgn0024989	Gene Expression
FBgn0040371	FBgn0040371	Gene Expression
FBgn0029521	FBgn0029521	Gene Expression
FBgn0004034	FBgn0004034	Gene Expression
FBgn0000022	FBgn0000022	Gene Expression
FBgn0004170	FBgn0004170	Gene Expression
FBgn0002561	FBgn0002561	Gene Expression
FBgn0000137	FBgn0000137	Gene Expression
FBgn0029522	FBgn0029522	Gene Expression
FBgn0052817	FBgn0052817	Gene Expression
FBgn0029524	FBgn0029524	Gene Expression
FBgn0023536	FBgn0023536	Gene Expression
FBgn0023534	FBgn0023534	Gene Expression
FBgn0023535	FBgn0023535	Gene Expression
FBgn0023537	FBgn0023537	Gene Expression
FBgn0029525	FBgn0029525	Gene Expression
FBgn0029523	FBgn0029523	Gene Expression
FBgn0010019	FBgn0010019	Gene Expression
FBgn0011822	FBgn0011822	Gene Expression
FBgn0052816	FBgn0052816	Gene Expression
FBgn0040370	FBgn0040370	Gene Expression
FBgn0040373	FBgn0040373	Gene Expression
FBgn0000108	FBgn0000108	Gene Expression
FBgn0025640	FBgn0025640	Gene Expression
FBgn0025635	FBgn0025635	Gene Expression
FBgn0001341	FBgn0001341	Gene Expression
FBgn0003575	FBgn0003575	Gene Expression
FBgn0025634	FBgn0025634	Gene Expression
FBgn0025638	FBgn0025638	Gene Expression
FBgn0040383	FBgn0040383	Gene Expression
FBgn0040382	FBgn0040382	Gene Expression
FBgn0027343	FBgn0027343	Gene Expression
FBgn0025621	FBgn0025621	Gene Expression
FBgn0029535	FBgn0029535	Gene Expression
FBgn0026874	FBgn0026874	Gene Expression
FBgn0025616	FBgn0025616	Gene Expression
FBgn0015799	FBgn0015799	Gene Expression
FBgn0025620	FBgn0025620	Gene Expression
FBgn0015288	FBgn0015288	Gene Expression
FBgn0029532	FBgn0029532	Gene Expression
FBgn0029531	FBgn0029531	Gene Expression
FBgn0025639	FBgn0025639	Gene Expression
FBgn0002579	FBgn0002579	Gene Expression
FBgn0026879	FBgn0026879	Gene Expression
FBgn0029529	FBgn0029529	Gene Expression
FBgn0025633	FBgn0025633	Gene Expression
FBgn0040892	FBgn0040892	Gene Expression
FBgn0040341	FBgn0040341	Gene Expression
FBgn0029539	FBgn0029539	Gene Expression
FBgn0040339	FBgn0040339	Gene Expression
FBgn0052815	FBgn0052815	Gene Expression
FBgn0040340	FBgn0040340	Gene Expression
FBgn0040347	FBgn0040347	Gene Expression
FBgn0042146	FBgn0042146	Gene Expression
FBgn0029552	FBgn0029552	Gene Expression
FBgn0040337	FBgn0040337	Gene Expression
FBgn0040398	FBgn0040398	Gene Expression
FBgn0040365	FBgn0040365	Gene Expression
FBgn0040397	FBgn0040397	Gene Expression
FBgn0026143	FBgn0026143	Gene Expression
FBgn0040351	FBgn0040351	Gene Expression
FBgn0040338	FBgn0040338	Gene Expression
FBgn0040350	FBgn0040350	Gene Expression
FBgn0040349	FBgn0040349	Gene Expression
FBgn0040348	FBgn0040348	Gene Expression
FBgn0040346	FBgn0040346	Gene Expression
FBgn0040342	FBgn0040342	Gene Expression
FBgn0040345	FBgn0040345	Gene Expression
FBgn0040343	FBgn0040343	Gene Expression
FBgn0052814	FBgn0052814	Gene Expression
FBgn0040364	FBgn0040364	Gene Expression
FBgn0040362	FBgn0040362	Gene Expression
FBgn0040361	FBgn0040361	Gene Expression
FBgn0040360	FBgn0040360	Gene Expression
FBgn0040359	FBgn0040359	Gene Expression
FBgn0040358	FBgn0040358	Gene Expression
FBgn0029568	FBgn0029568	Gene Expression
FBgn0040357	FBgn0040357	Gene Expression
FBgn0040367	FBgn0040367	Gene Expression
FBgn0025642	FBgn0025642	Gene Expression
FBgn0004650	FBgn0004650	Gene Expression
FBgn0024362	FBgn0024362	Gene Expression
FBgn0024361	FBgn0024361	Gene Expression
FBgn0024364	FBgn0024364	Gene Expression
FBgn0029573	FBgn0029573	Gene Expression
FBgn0024987	FBgn0024987	Gene Expression
FBgn0023169	FBgn0023169	Gene Expression
FBgn0052813	FBgn0052813	Gene Expression
FBgn0024985	FBgn0024985	Gene Expression
FBgn0027794	FBgn0027794	Gene Expression
FBgn0027795	FBgn0027795	Gene Expression
FBgn0024986	FBgn0024986	Gene Expression
FBgn0000826	FBgn0000826	Gene Expression
FBgn0024365	FBgn0024365	Gene Expression
FBgn0024360	FBgn0024360	Gene Expression
FBgn0024366	FBgn0024366	Gene Expression
FBgn0025641	FBgn0025641	Gene Expression
FBgn0052811	FBgn0052811	Gene Expression
FBgn0028550	FBgn0028550	Gene Expression
FBgn0026876	FBgn0026876	Gene Expression
FBgn0040366	FBgn0040366	Gene Expression
FBgn0040363	FBgn0040363	Gene Expression
FBgn0040368	FBgn0040368	Gene Expression
FBgn0026872	FBgn0026872	Gene Expression
FBgn0029580	FBgn0029580	Gene Expression
FBgn0025383	FBgn0025383	Gene Expression
FBgn0025381	FBgn0025381	Gene Expression
FBgn0025394	FBgn0025394	Gene Expression
FBgn0000482	FBgn0000482	Gene Expression
FBgn0001189	FBgn0001189	Gene Expression
FBgn0029587	FBgn0029587	Gene Expression
FBgn0024897	FBgn0024897	Gene Expression
FBgn0025391	FBgn0025391	Gene Expression
FBgn0025378	FBgn0025378	Gene Expression
FBgn0023130	FBgn0023130	Gene Expression
FBgn0023530	FBgn0023530	Gene Expression
FBgn0025390	FBgn0025390	Gene Expression
FBgn0025393	FBgn0025393	Gene Expression
FBgn0003517	FBgn0003517	Gene Expression
FBgn0044508	FBgn0044508	Gene Expression
FBgn0025382	FBgn0025382	Gene Expression
FBgn0052808	FBgn0052808	Gene Expression
FBgn0027791	FBgn0027791	Gene Expression
FBgn0027793	FBgn0027793	Gene Expression
FBgn0052806	FBgn0052806	Gene Expression
FBgn0026873	FBgn0026873	Gene Expression
FBgn0023513	FBgn0023513	Gene Expression
FBgn0014411	FBgn0014411	Gene Expression
FBgn0023514	FBgn0023514	Gene Expression
FBgn0029594	FBgn0029594	Gene Expression
FBgn0023519	FBgn0023519	Gene Expression
FBgn0023509	FBgn0023509	Gene Expression
FBgn0023510	FBgn0023510	Gene Expression
FBgn0023508	FBgn0023508	Gene Expression
FBgn0023522	FBgn0023522	Gene Expression
FBgn0023521	FBgn0023521	Gene Expression
FBgn0025627	FBgn0025627	Gene Expression
FBgn0025630	FBgn0025630	Gene Expression
FBgn0025629	FBgn0025629	Gene Expression
FBgn0029596	FBgn0029596	Gene Expression
FBgn0025626	FBgn0025626	Gene Expression
FBgn0025625	FBgn0025625	Gene Expression
FBgn0025631	FBgn0025631	Gene Expression
FBgn0026878	FBgn0026878	Gene Expression
FBgn0000667	FBgn0000667	Gene Expression
FBgn0003964	FBgn0003964	Gene Expression
FBgn0023545	FBgn0023545	Gene Expression
FBgn0023520	FBgn0023520	Gene Expression
FBgn0023512	FBgn0023512	Gene Expression
FBgn0023511	FBgn0023511	Gene Expression
FBgn0052801	FBgn0052801	Gene Expression
FBgn0023518	FBgn0023518	Gene Expression
FBgn0026088	FBgn0026088	Gene Expression
FBgn0026089	FBgn0026089	Gene Expression
FBgn0023517	FBgn0023517	Gene Expression
FBgn0023516	FBgn0023516	Gene Expression
FBgn0023515	FBgn0023515	Gene Expression
FBgn0028969	FBgn0028969	Gene Expression
FBgn0026090	FBgn0026090	Gene Expression
FBgn0029590	FBgn0029590	Gene Expression
FBgn0025624	FBgn0025624	Gene Expression
FBgn0040395	FBgn0040395	Gene Expression
FBgn0000382	FBgn0000382	Gene Expression
FBgn0023507	FBgn0023507	Gene Expression
FBgn0004654	FBgn0004654	Gene Expression
FBgn0023540	FBgn0023540	Gene Expression
FBgn0025839	FBgn0025839	Gene Expression
FBgn0011576	FBgn0011576	Gene Expression
FBgn0015036	FBgn0015036	Gene Expression
FBgn0003116	FBgn0003116	Gene Expression
FBgn0040899	FBgn0040899	Gene Expression
FBgn0040900	FBgn0040900	Gene Expression
FBgn0024984	FBgn0024984	Gene Expression
FBgn0023549	FBgn0023549	Gene Expression
FBgn0029606	FBgn0029606	Gene Expression
FBgn0003048	FBgn0003048	Gene Expression
FBgn0000810	FBgn0000810	Gene Expression
FBgn0023523	FBgn0023523	Gene Expression
FBgn0023527	FBgn0023527	Gene Expression
FBgn0040391	FBgn0040391	Gene Expression
FBgn0053218	FBgn0053218	Gene Expression
FBgn0003079	FBgn0003079	Gene Expression
FBgn0003159	FBgn0003159	Gene Expression
FBgn0040389	FBgn0040389	Gene Expression
FBgn0044047	FBgn0044047	Gene Expression
FBgn0040392	FBgn0040392	Gene Expression
FBgn0023526	FBgn0023526	Gene Expression
FBgn0023529	FBgn0023529	Gene Expression
FBgn0023528	FBgn0023528	Gene Expression
FBgn0027296	FBgn0027296	Gene Expression
FBgn0023524	FBgn0023524	Gene Expression
FBgn0023525	FBgn0023525	Gene Expression
FBgn0000377	FBgn0000377	Gene Expression
FBgn0001330	FBgn0001330	Gene Expression
FBgn0004397	FBgn0004397	Gene Expression
FBgn0023550	FBgn0023550	Gene Expression
FBgn0029603	FBgn0029603	Gene Expression
FBgn0023542	FBgn0023542	Gene Expression
FBgn0023541	FBgn0023541	Gene Expression
FBgn0005670	FBgn0005670	Gene Expression
FBgn0004655	FBgn0004655	Gene Expression
FBgn0013432	FBgn0013432	Gene Expression
FBgn0004861	FBgn0004861	Gene Expression
FBgn0004860	FBgn0004860	Gene Expression
FBgn0040394	FBgn0040394	Gene Expression
FBgn0040376	FBgn0040376	Gene Expression
FBgn0040066	FBgn0040066	Gene Expression
FBgn0001404	FBgn0001404	Gene Expression
FBgn0040336	FBgn0040336	Gene Expression
FBgn0040333	FBgn0040333	Gene Expression
FBgn0040334	FBgn0040334	Gene Expression
FBgn0029629	FBgn0029629	Gene Expression
FBgn0011566	FBgn0011566	Gene Expression
FBgn0011606	FBgn0011606	Gene Expression
FBgn0040375	FBgn0040375	Gene Expression
FBgn0040377	FBgn0040377	Gene Expression
FBgn0040388	FBgn0040388	Gene Expression
FBgn0003714	FBgn0003714	Gene Expression
FBgn0001150	FBgn0001150	Gene Expression
FBgn0052797	FBgn0052797	Gene Expression
FBgn0040385	FBgn0040385	Gene Expression
FBgn0003371	FBgn0003371	Gene Expression
FBgn0003068	FBgn0003068	Gene Expression
FBgn0024993	FBgn0024993	Gene Expression
FBgn0024996	FBgn0024996	Gene Expression
